Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Eternal Sunshine of the Spotless Mind,8.50,219986,34366518,47066518,20000000
The Wedding Date,5.50,12205,31726995,47175038,15000000
High Fidelity,7.60,69740,27277055,47881663,20000000
The Last King of Scotland,7.80,54022,17606684,48363516,6000000
Leaving Las Vegas,7.60,42131,31983777,49800000,4000000
Little Women,7.10,16514,50003303,50003303,15000000
Absolute Power,6.50,20154,50068310,50068310,50000000
Fever Pitch,6.30,16736,42071069,50071069,40000000
Sphere,5.60,31461,37068294,50168294,73000000
K-PAX,7.30,50475,50315140,50315140,48000000
Pooh's Heffalump Movie,6.30,1605,18098433,52858433,20000000
Message in a Bottle,5.60,13108,52880016,52880016,30000000
Into the Wild,8.20,99464,18354356,53813837,20000000
The Borrowers,5.60,4340,22619589,54045832,29000000
The Count of Monte Cristo,7.60,40605,54228104,54228104,40000000
The Mothman Prophecies,6.50,26948,35228696,54639865,42000000
The Mist,7.40,76830,25593755,54777490,13000000
Derailed,3.40,3317,36020063,54962616,22000000
The Ant Bully,6.20,7766,28142535,55181129,45000000
Clueless,6.70,39055,56598476,56598476,13700000
A Civil Action/Adventure,6.40,14244,56709981,56709981,60000000
The Man in the Iron Mask,7.20,561,56968169,56968169,35000000
The Specialist,4.90,18749,57362581,57362581,45000000
Inkheart,6.10,14157,17303424,58051454,60000000
Must Love Dogs,5.90,13491,43894863,58894863,35000000
The Insider,8.00,68747,28965197,60265197,68000000
Kiss the Girls,6.40,20932,60527873,60527873,27000000
Marie Antoinette,6.40,31877,15962471,60862471,40000000
The 13th Warrior,6.30,36151,32698899,61698899,125000000
Flags of Our Fathers,7.20,42788,33602376,61902376,53000000
Friday Night Lights,7.20,20868,61255921,61950770,30000000
Captain Corelli's Mandolin,5.70,14706,25528495,62097495,57000000
Random Hearts,4.80,11100,31054924,63200000,64000000
The Ghost Writer,7.60,22875,15541549,63241549,45000000
Precious (Based on the Novel Push by Sapphire),7.50,24504,47566524,63471431,10000000
High Crimes,6.10,14428,41543207,63781100,42000000
Wag the Dog,7.00,36092,43057470,64252038,15000000
Without a Paddle,5.70,17207,58156435,65121280,30000000
Se jie,7.60,15440,4604982,65696051,15000000
K-19: The Widowmaker,6.50,22288,35168966,65716126,90000000
Legends of the Fall,7.10,39815,66502573,66502573,30000000
102 Dalmatians,4.40,7147,66941559,66941559,85000000
The Men Who Stare at Goats,6.40,33763,32428195,67348218,24000000
Other Range,7.50,26438,58328680,68293719,26000000
Practical Magic,5.50,20196,46850558,68336997,60000000
Babe: Pig in the City,6.10,9918,18319860,69131860,80000000
Children of Men,8.10,158125,35552383,69450202,76000000
Curious George,6.70,5393,58640119,70114174,50000000
Babylon A.D.,5.30,27189,22532572,70216497,45000000
What Dreams May Come,6.60,30486,55485043,71485043,80000000
Rules of Engagement,6.20,18462,61322858,71719931,60000000
Holes,7.10,19388,67383924,72383924,20000000
Jackie Brown,7.60,84068,39673162,72673162,12000000
The Other Boleyn Girl,6.70,26198,26814957,72944278,40000000
The Kite Runner,7.80,26816,15800078,73222245,20000000
The Horse Whisperer,6.30,15831,75383563,75383563,60000000
Dreamcatcher,5.30,34141,33685268,75685268,68000000
Cruel Intentions,6.70,66861,38230075,75803716,11000000
The Last Song,3.90,7210,62950384,75850384,20000000
Revolutionary Road,7.60,45887,22911480,76989671,35000000
The Sentinel,6.10,23567,36280697,77280697,60000000
Hostage,7.30,3070,34636443,77636443,75000000
Apocalypse Now,8.60,173141,78800000,78800000,31500000
Exit Wounds,5.20,14528,51758599,79958599,33000000
Hannibal Rising,6.00,28690,27669725,80583311,50000000
The Constant Gardener,7.60,50763,33579798,81079798,25500000
The Talented Mr. Ripley,7.20,63319,81292135,81292135,40000000
Blow,7.40,70218,52990775,83282296,30000000
The Illusionist,7.70,92040,39868642,84276175,16500000
"Boot, Das",4.30,2184,11487676,84970337,12000000
Eyes Wide Shut,7.20,93880,55691208,86257553,65000000
Peter Pan,7.10,16894,87400000,87400000,4000000
Bicentennial Man,6.40,28827,58220776,87420776,90000000
The Tale of Despereaux,6.10,7460,50877145,88717945,60000000
My Sister's Keeper,7.40,13839,49200230,89053995,27500000
Paycheck,6.10,35660,53789313,89350576,60000000
Nanny McPhee and the Big Bang,6.10,2326,27776620,90676620,35000000
Treasure Planet,6.60,12099,38120554,91800000,100000000
Secret Window,6.50,53868,47958031,92958031,40000000
Nim's Island,6.00,10391,48006762,94081683,37000000
The Lovely Bones,6.60,32049,44028238,94702568,65000000
Be Cool,5.60,32082,55849401,94849401,75000000
Syriana,7.10,53265,50824620,95024620,50000000
Shooter,7.20,149,47003582,95203582,60000000
Peter Pan,7.10,16894,48417850,95255485,100000000
Christmas with the Kranks,4.70,9126,73701902,96501902,50000000
Jarhead,7.20,60650,62647540,96947540,72000000
The Time Traveler's Wife,7.10,23908,63414846,98666635,39000000
The Time Machine,5.60,32465,56684819,98983590,80000000
Where the Wild Things Are,7.20,30669,77233467,99123656,100000000
Just Like Heaven,6.80,29457,48318130,100687083,58000000
Fight Club,8.80,382470,37030102,100853753,65000000
The Notebook,8.00,95850,81001787,102276787,30000000
The Hitchhiker's Guide to the Galaxy,6.60,61513,51019112,104019112,45000000
Don't Say a Word,6.10,22157,54997476,104488383,50000000
Along Came a Spider,6.10,22994,74058698,105159085,28000000
About Schmidt,7.30,53760,65005217,105823486,30000000
The Reader,7.70,46984,34192652,106107610,33000000
The Prestige,8.40,207322,53089891,107896006,40000000
Body of Lies,7.20,53921,39394666,108394666,67500000
The Hours,7.60,44618,41675994,108775994,25000000
