Title,IMDB Rating,IMDB Votes,US Gross,Worldwide Gross,Production Budget
Love and Death on Long Island,6.90,2506,2542264,2542264,4030000
Infamous,7.10,6917,1151330,2613717,13000000
Auto Focus,6.60,7236,2062066,2703821,7000000
Cheri,6.10,3307,2715657,2715657,23000000
The Perez Family,6.00,1177,2794056,2794056,11000000
Jindabyne,6.40,3920,399879,2862544,10800000
The House of Mirth,6.80,4489,3041803,3041803,10000000
The Work and the Glory,6.00,531,3347647,3347647,7500000
Crash,6.10,20886,3357324,3357324,10000000
My Summer of Love,7.00,7242,1000915,3800915,1700000
Restoration,6.50,4024,4100000,4100000,18000000
Left Behind,5.00,43,4221341,4221341,18500000
The Sweet Hereafter,7.80,16280,4306697,4306697,5000000
The Other Side of Heaven,6.30,1670,4720371,4720371,7000000
The Virgin Suicides,7.20,49110,4859475,4859475,6000000
Jakob the Liar,6.10,6636,4956401,4956401,15000000
Control,7.80,19466,871577,5645350,6400000
Ed Wood,8.10,74171,5828466,5828466,18000000
Impostor,6.00,9020,6114237,6114237,40000000
A Sound of Thunder,4.10,9915,1900451,6300451,80000000
Mary Reilly,5.50,6864,5707094,6370115,47000000
Gods and Monsters,7.50,15946,6451628,6451628,3500000
I Dreamed of Africa,5.20,2298,6543194,6543194,34000000
The Last Station,7.00,3465,6616974,6616974,18000000
The Big Bounce,4.80,9195,6471394,6626115,50000000
Trapped,6.00,10685,6916869,6916869,30000000
Obsluhoval jsem anglickÈho kr·le,7.40,3048,617228,7174984,4900000
Running With Scissors,6.00,12926,6775659,7213629,12000000
Requiem for a Dream,8.50,185226,3635482,7390108,4500000
A Scanner Darkly,7.20,41928,5501616,7405084,20000000
Smoke Signals,6.90,5058,6719300,7756617,2000000
Hoot,5.30,2830,8117637,8224998,15000000
The Love Letter,5.10,2446,8322608,8322608,15000000
Big Trouble,6.30,11610,7262288,8488871,45000000
The Oxford Murders,6.10,8066,3607,8667348,10000000
Whatever it Takes,5.20,4192,8735529,8735529,15000000
The Deep End,6.60,6734,8823109,8823109,3000000
Miracle at St. Anna,5.90,8559,7916887,9110458,45000000
