Title,IMDB Rating,Worldwide Gross
Percy Jackson & the Olympians: The Lightning Thief,5.8,226435277
The English Patient,7.3,231716374
Artificial Intelligence: AI,6.9,235900000
Journey to the Center of the Earth,5.9,240904370
Babe,7.3,246100000
Eragon,5.0,249488115
Hercules,6.8,250700000
Jumanji,6.4,262758310
The Princess and the Frog,7.4,263467382
Bridget Jones: The Edge Of Reason,5.6,263894551
The Firm,5.5,270340892
Bridget Jones's Diary,6.8,281527158
The Green Mile,8.4,286601374
The Bourne Supremacy,7.6,288587450
Shutter Island,8.0,294512934
Horton Hears a Who,7.2,297133947
Stuart Little,5.8,298800000
Rambo: First Blood Part II,5.8,300400000
The Polar Express,6.7,305420597
The Hunchback of Notre Dame,6.5,325500000
The Devil Wears Prada,6.8,326551094
The Perfect Storm,6.2,328711434
The Curious Case of Benjamin Button,8.0,329809326
Apollo 13,7.5,334100000
Tomorrow Never Dies,6.4,339504276
How the Grinch Stole Christmas,5.7,345141403
Hannibal,6.4,350100280
Catch Me if You Can,5.7,351106800
Goldeneye,7.2,356429941
Minority Report,7.7,358824714
The World is Not Enough,6.3,361730660
Die Hard: With a Vengeance,7.4,364480746
Jurassic Park 3,7.9,365900000
Live Free or Die Hard,7.5,383531464
Gone with the Wind,8.2,390525192
Twilight,6.1,396439854
The Exorcist,8.1,402500000
Beauty and the Beast,3.4,403476931
Night at the Museum: Battle of the Smithsonian,5.9,413054631
The Chronicles of Narnia: Prince Caspian,6.9,419490286
Die Another Day,6.0,431942139
Mrs. Doubtfire,6.6,441286003
The Bourne Ultimatum,8.2,442161562
Tarzan,6.9,448191819
Jaws,8.3,470700000
Shrek,8.0,484399218
Angels & Demons,6.7,485975846
How to Train Your Dragon,8.2,491581231
Twister,6.0,495900000
Troy,7.0,497398577
Sherlock Holmes,7.5,518249844
Night at the Museum,6.4,574480841
Quantum of Solace,6.8,576368427
I am Legend,7.1,585055701
Casino Royale,8.0,596365000
The Passion of the Christ,7.1,611899420
Forrest Gump,8.6,679400525
Shrek Forever After,6.7,729395990
The Da Vinci Code,6.4,757236138
The Lost World: Jurassic Park,6.0,786686679
Harry Potter and the Prisoner of Azkaban,7.7,795538952
Shrek the Third,6.1,798958162
The Lord of the Rings: The Fellowship of the Ring,8.8,868621686
Harry Potter and the Chamber of Secrets,7.2,878987880
Harry Potter and the Goblet of Fire,7.6,896013036
Shrek 2,7.5,919838758
Jurassic Park,7.9,923067947
The Lord of the Rings: The Two Towers,8.7,926284377
Harry Potter and the Half-Blood Prince,7.3,937499905
Harry Potter and the Order of the Phoenix,7.4,938468864
Harry Potter and the Sorcerer's Stone,7.2,976457891
Alice in Wonderland,6.7,1023291110
The Lord of the Rings: The Return of the King,8.8,1133027325
Steel,2.7,1686429
Tank Girl,4.7,4064333
Monkeybone,4.5,5409517
American Splendor,7.6,7978681
Punisher: War Zone,6.1,8199130
Ghost World,7.7,8764007
Jonah Hex,4.3,10547117
Whiteout,5.3,12254746
Zoom,3.4,12506188
The Phantom,4.8,17220599
Bulletproof Monk,5.2,23010607
